#property,value,lower_error,upper_error,source
Host radius over semi-major axis SOI_4; $R_\star/a_\mathrm{SOI_4}$,0.131552205268669,0.00021734958550306827,0.00010300702352689095,derived
Semi-major axis SOI_4 over host radius; $a_\mathrm{SOI_4}/R_\star$,7.601544937674747,0.005947447917961313,0.012580001199969715,derived
Companion radius SOI_4 over semi-major axis SOI_4; $R_\mathrm{SOI_4}/a_\mathrm{SOI_4}$,0.0016821669569049636,1.6630728938023124e-05,1.1088946979014329e-05,derived
Companion radius SOI_4; $R_\mathrm{SOI_4}$ ($\mathrm{R_{\oplus}}$),0.43772230477478935,0.013684293705020723,0.01363067312866284,derived
Companion radius SOI_4; $R_\mathrm{SOI_4}$ ($\mathrm{R_{jup}}$),0.03905103552962687,0.0012208330118054153,0.001216049296171945,derived
Semi-major axis SOI_4; $a_\mathrm{SOI_4}$ ($\mathrm{R_{\odot}}$),2.3890316448124955,0.07068435327255962,0.07205429140394282,derived
Semi-major axis SOI_4; $a_\mathrm{SOI_4}$ (AU),0.011110113449603085,0.00032871527075632213,0.0003350861231858626,derived
Inclination SOI_4; $i_\mathrm{SOI_4}$ (deg),89.781360859946,0.1909454015231944,0.13231991070777838,derived
Impact parameter SOI_4; $b_\mathrm{tra;SOI_4}$,0.02902872341241087,0.017567237229067587,0.02537997367881442,derived
Total transit duration SOI_4; $T_\mathrm{tot;SOI_4}$ (h),1.0702386193859745,0.002063798130486516,0.0012197115889809318,derived
Full-transit duration SOI_4; $T_\mathrm{full;SOI_4}$ (h),1.043050566187508,0.0020185357595621234,0.0011963390430005383,derived
Host density from orbit SOI_4; $\rho_\mathrm{\star;SOI_4}$ (cgs),7.548415634454623,0.01770916976874659,0.03753317382819432,derived
Equilibrium temperature SOI_4; $T_\mathrm{eq;SOI_4}$ (K),804.4109014667392,46.45800869804225,46.414435784075295,derived
Transit depth (undil.) SOI_4; $\delta_\mathrm{tr; undil; SOI_4; lc}$ (ppt),0.17430983994592975,0.004222641084128398,0.004810460227155922,derived
Transit depth (dil.) SOI_4; $\delta_\mathrm{tr; dil; SOI_4; lc}$ (ppt),0.17430983994592975,0.004222641084128398,0.004810460227155922,derived
Limb darkening; $u_\mathrm{1; lc}$,0.16621280290939355,0.10012819351619837,0.12117981131342204,derived
Limb darkening; $u_\mathrm{2; lc}$,0.026787677238692558,0.10832771126903233,0.13527217960389934,derived
Combined host density from all orbits; $rho_\mathrm{\star; combined}$ (cgs),7.548415634454623,0.01770916976874659,0.03753317382819432,derived
