bjd,rv,rv_err,fwhm,fwhm_err,bis,bis_e,contrast,contrast_err,s,s_err,ha,ha_err,na,na_err,berv,inst
58436.80567402998,-5573.437416,0.816913,4499.263409,1.633825,20.033978,1.633825,42.799587,0.015542,0.598479,0.002542,0.600940,0.000142,0.067823,0.000083,3.416847,Pre
58444.83918777015,-5576.693982,0.793815,4498.810086,1.587631,19.357431,1.587631,42.597043,0.015033,0.688857,0.002322,0.596644,0.000139,0.073309,0.000082,4.175202,Pre
58463.82528164983,-5580.193552,0.653161,4507.480887,1.306323,20.522430,1.306323,42.765184,0.012394,0.672483,0.001731,0.600782,0.000109,0.064390,0.000062,5.718515,Pre
58470.77212886,-5579.244790,0.676495,4503.037787,1.352990,16.917991,1.352990,42.717744,0.012835,0.613767,0.001831,0.616538,0.000113,0.061649,0.000064,6.179283,Pre
58488.72762431018,-5578.568851,1.060688,4510.972651,2.121377,22.321148,2.121377,42.689840,0.020076,0.714336,0.003768,0.602749,0.000190,0.068562,0.000113,6.850254,Pre
58489.81852396019,-5579.529115,1.171952,4514.912860,2.343904,20.586048,2.343904,42.666015,0.022150,0.699533,0.004291,0.593230,0.000213,0.066737,0.000126,6.779974,Pre
58524.78650296014,-5571.589036,0.756483,4496.529748,1.512966,18.743622,1.512966,42.667886,0.014357,0.598662,0.002300,0.644315,0.000129,0.060215,0.000072,6.017325,Pre
58532.68739863997,-5578.589293,0.694006,4502.820354,1.388011,20.157256,1.388011,42.577531,0.013125,0.600196,0.001939,0.646694,0.000118,0.065864,0.000066,5.581783,Pre
58533.67201433983,-5581.718702,0.642618,4501.319988,1.285236,17.043771,1.285236,42.531903,0.012144,0.594510,0.001642,0.645286,0.000108,0.061396,0.000059,5.524371,Pre
58535.769034349825,-5579.715582,0.643476,4499.696735,1.286951,19.059351,1.286951,42.504137,0.012157,0.593237,0.001666,0.638177,0.000107,0.060979,0.000059,5.289490,Pre
58536.629871869925,-5578.380176,0.734840,4503.009682,1.469679,20.097128,1.469679,42.632403,0.013914,0.594015,0.002158,0.648134,0.000126,0.062467,0.000070,5.340100,Pre
58537.66801908985,-5584.213826,1.315879,4508.124211,2.631758,17.333697,2.631758,42.464522,0.024790,0.620412,0.005239,0.656765,0.000242,0.065829,0.000141,5.221233,Pre
58538.672212060075,-5579.310605,0.822470,4504.276201,1.644941,19.105068,1.644941,42.668396,0.015582,0.589929,0.002670,0.634264,0.000142,0.062291,0.000080,5.136329,Pre
58540.748639409896,-5581.633023,1.000597,4503.614943,2.001195,19.463303,2.001195,42.678393,0.018964,0.619735,0.003490,0.640839,0.000179,0.064740,0.000102,4.903845,Pre
58541.61709892005,-5582.842069,0.728630,4506.071562,1.457261,17.469290,1.457261,42.704270,0.013811,0.627103,0.002073,0.645817,0.000126,0.062743,0.000070,4.942126,Pre
58542.56942507019,-5584.395376,0.705554,4504.323715,1.411107,18.782885,1.411107,42.704255,0.013378,0.587565,0.001991,0.635409,0.000120,0.062645,0.000067,4.905789,Pre
58543.682559649926,-5581.294689,0.709597,4504.681372,1.419195,18.357051,1.419195,42.710570,0.013456,0.698403,0.002067,0.672231,0.000122,0.065029,0.000068,4.700050,Pre
58544.69534606999,-5584.021358,0.667584,4505.390128,1.335168,19.194122,1.335168,42.729156,0.012663,0.577500,0.001828,0.627896,0.000111,0.061098,0.000062,4.598643,Pre
58550.75710280985,-5575.694930,0.627819,4505.966643,1.255637,19.016704,1.255637,42.724695,0.011906,0.599804,0.001727,0.613315,0.000102,0.063371,0.000057,3.989527,Pre
58555.655319369864,-5580.605117,0.752207,4511.104577,1.504415,17.731760,1.504415,42.693119,0.014238,0.633117,0.002292,0.591197,0.000126,0.066125,0.000073,3.564109,Pre
58561.565563220065,-5573.871229,0.757753,4515.288609,1.515506,18.495915,1.515506,42.512430,0.014269,0.680470,0.002253,0.589512,0.000127,0.069203,0.000074,3.017953,Pre
