,bjd,rv,rv_err,ha,ha_err,hb,hb_err,hg,hg_err,na,na_err,s,s_err,fwhm,inst
0,58408.853661,-5678.7,2.3,6.93,0.02,5.43,0.05,12.32,0.17,0.91,0.02,0.69,0.09,3.0588,23.2798
1,58409.844622,-5678.9,2.4,6.77,0.02,5.22,0.05,11.46,0.17,0.84,0.02,0.65,0.1,3.0637,23.3301
2,58412.858886,-5679.1,2.2,7.07,0.02,5.79,0.05,12.85,0.17,0.98,0.02,0.8,0.1,3.0559,23.3108
3,58413.860798,-5676.2,1.9,6.79,0.02,5.25,0.04,11.87,0.13,0.83,0.02,0.65,0.07,3.0655,23.3935
4,58414.858984,-5674.6,2.5,6.81,0.02,5.12,0.06,11.75,0.19,0.85,0.03,0.71,0.12,3.056,23.1147
5,58417.855637,-5681.7,2.2,6.94,0.02,5.37,0.05,12.52,0.16,0.86,0.02,0.5,0.09,,
6,58418.747354,-5680.2,1.6,6.92,0.02,5.4,0.04,12.26,0.11,0.88,0.01,0.64,0.05,,
7,58418.863257,-5679.4,1.7,6.91,0.02,5.45,0.04,11.47,0.12,0.84,0.01,0.6,0.06,,
8,58419.818528,-5675.6,1.3,6.84,0.01,5.4,0.03,11.92,0.09,0.87,0.01,0.64,0.03,,
9,58422.856542,-5682.5,3.3,7.0,0.03,5.2,0.07,11.96,0.25,1.01,0.03,0.26,0.19,,
10,58423.852949,-5676.8,1.3,6.85,0.01,5.34,0.03,11.97,0.09,0.83,0.01,0.66,0.03,,
11,58429.828248,-5676.6,1.4,6.87,0.02,5.43,0.03,11.94,0.1,0.77,0.01,0.62,0.04,,
12,58430.814044,-5679.4,1.3,6.9,0.01,5.48,0.03,12.2,0.09,0.75,0.01,0.67,0.03,,
13,58430.855028,-5682.2,2.3,6.89,0.02,5.25,0.05,11.73,0.17,0.71,0.02,0.63,0.11,,
14,58431.765719,-5675.5,1.2,6.89,0.01,5.51,0.03,12.08,0.08,0.71,0.01,0.7,0.03,,
15,58431.83962,-5677.2,1.4,6.85,0.01,5.37,0.03,12.15,0.09,0.79,0.01,0.61,0.04,,
16,58432.827419,-5675.4,4.4,6.85,0.04,5.36,0.11,11.44,0.36,1.05,0.05,0.33,0.36,,
17,58432.846227,-5671.2,3.1,6.85,0.03,5.11,0.07,12.23,0.24,1.0,0.03,0.51,0.17,,
18,58442.787348,-5674.3,1.8,7.0,0.02,5.59,0.04,12.38,0.13,0.73,0.02,0.72,0.07,3.0662,23.359
19,58443.811401,-5672.4,1.5,6.98,0.02,5.54,0.03,11.98,0.1,0.71,0.01,0.71,0.05,3.0655,23.4072
20,58443.82691,-5673.1,1.7,6.93,0.02,5.61,0.04,11.98,0.12,0.75,0.01,0.73,0.06,3.068,23.3922
21,58447.792476,-5670.2,1.5,7.09,0.02,5.84,0.04,12.82,0.11,0.85,0.01,0.75,0.05,3.0618,23.2936
22,58447.81471,-5670.0,1.6,7.13,0.02,5.9,0.04,12.85,0.11,0.84,0.01,0.8,0.05,3.0697,23.3623
23,58452.796963,-5679.4,1.4,8.17,0.02,9.09,0.04,21.46,0.15,0.99,0.01,1.28,0.06,3.056,23.1953
24,58453.786516,-5680.0,1.5,6.85,0.02,5.28,0.03,11.85,0.11,0.72,0.01,0.67,0.06,3.0608,23.2478
25,58454.76519,-5680.8,2.6,6.86,0.03,5.55,0.06,11.96,0.2,0.77,0.03,0.84,0.11,3.0596,23.2169
26,58455.805856,-5677.7,2.2,6.8,0.02,5.15,0.05,11.71,0.16,0.73,0.02,0.68,0.09,3.0648,23.2725
27,58467.725614,-5684.4,1.7,6.91,0.02,5.48,0.04,12.22,0.12,0.72,0.01,0.68,0.06,3.06,23.3548
28,58467.794227,-5685.4,1.5,7.53,0.02,6.76,0.04,15.18,0.13,0.91,0.01,0.93,0.06,3.0547,23.2194
29,58467.830848,-5686.8,1.7,7.25,0.02,6.15,0.04,13.54,0.14,0.82,0.01,0.85,0.08,3.0493,23.158
