,bjd,rv,rv_err
0,58408.853661,-0.644242424242293,2.3
1,58409.844622,-0.8442424242421112,2.4
2,58412.858886,-1.0442424242428388,2.2
3,58413.860798,1.855757575757707,1.9
4,58414.858984,3.4557575757571612,2.5
5,58417.855637,-3.644242424242293,2.2
6,58418.747354,-2.144242424242293,1.6
7,58418.863257,-1.3442424242421112,1.7
8,58419.818528,2.4557575757571612,1.3
9,58422.856542,-4.444242424242475,3.3
10,58423.852949,1.2557575757573431,1.3
11,58429.828248,1.4557575757571612,1.4
12,58430.814044,-1.3442424242421112,1.3
13,58430.855028,-4.144242424242293,2.3
14,58431.765719,2.555757575757525,1.2
15,58431.83962,0.855757575757707,1.4
16,58432.827419,2.655757575757889,4.4
17,58432.846227,6.855757575757707,3.1
0,58436.80567402998,4.639734238096025,0.816913
18,58442.787348,3.755757575757343,1.8
19,58443.811401,5.655757575757889,1.5
20,58443.82691,4.955757575757161,1.7
1,58444.83918777015,1.3831682380960046,0.793815
21,58447.792476,7.855757575757707,1.5
22,58447.81471,8.055757575757525,1.6
23,58452.796963,-1.3442424242421112,1.4
24,58453.786516,-1.944242424242475,1.5
25,58454.76519,-2.744242424242657,2.6
26,58455.805856,0.35575757575770695,2.2
2,58463.82528164983,-2.116401761903944,0.653161
27,58467.725614,-6.344242424242111,1.7
28,58467.794227,-7.344242424242111,1.5
29,58467.830848,-8.744242424242657,1.7
30,58468.683897,-3.244242424242657,1.8
31,58468.750681,-3.444242424242475,1.7
32,58468.821169,-3.644242424242293,1.9
33,58469.692737,0.45575757575716125,1.9
34,58469.766535,-0.24424242424265685,1.8
35,58469.822751,2.4557575757571612,2.1
3,58470.77212886,-1.1676397619039562,0.676495
36,58471.701795,0.055757575757525046,1.6
37,58471.769331,1.1557575757578888,2.4
38,58471.839436,2.9557575757571612,2.1
39,58474.739486,-0.14424242424229305,1.7
40,58475.760885,3.755757575757343,1.9
41,58476.685187,4.455757575757161,1.9
42,58476.817227,4.155757575757889,1.7
43,58477.698843,4.055757575757525,1.8
44,58477.826172,4.455757575757161,1.9
45,58478.696561,0.7557575757573431,1.7
46,58478.841055,-1.944242424242475,2.0
47,58479.711433,0.855757575757707,2.4
48,58479.836251,1.355757575757707,2.0
49,58480.821145,4.455757575757161,1.9
50,58484.810389,1.2557575757573431,1.8
51,58486.766845,1.6557575757578888,2.1
52,58487.733719,8.055757575757525,1.6
53,58487.744379,7.555757575757525,1.5
4,58488.72762431018,-0.4917007619042124,1.060688
54,58488.775224,2.755757575757343,1.7
5,58489.81852396019,-1.4519647619044918,1.171952
55,58489.831949,-3.144242424242293,2.9
56,58490.789656,-4.644242424242293,2.2
57,58490.800525,-1.644242424242293,2.0
58,58491.760906,0.7557575757573431,2.2
59,58491.771265,0.7557575757573431,2.3
60,58501.727929,7.455757575757161,2.5
61,58502.738265,5.655757575757889,1.7
